Turno;Curso;Unidade de execução;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Slots;Características pedidas;Sala da aula;Lotação
02887TP01;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA1;27;;;Qua;09:30:00;11:00:00;3;Sala Aulas Mestrado Plus;;
02887TP01;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA1;27;;;Qua;08:00:00;09:30:00;3;Sala Aulas Mestrado Plus;;
02887TP02;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA2;18;;;Ter;16:00:00;17:30:00;3;Sala Aulas Mestrado Plus;;
02887TP02;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA2;18;;;Ter;14:30:00;16:00:00;3;Sala Aulas Mestrado Plus;;
02887TP02;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA2;18;;;Qui;16:00:00;17:30:00;3;Sala Aulas Mestrado Plus;;
02887TP02;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA2;18;;;Qui;14:30:00;16:00:00;3;Sala Aulas Mestrado Plus;;
02888TP01;MGRHCO;Investigação em Gestão de Recursos Humanos: Análise de Dados Quantitativos;MGRHCOA1;26;;;Seg;11:00:00;12:30:00;3;Sala Aulas Mestrado Plus;;
02888TP01;MGRHCO;Investigação em Gestão de Recursos Humanos: Análise de Dados Quantitativos;MGRHCOA1;26;;;Qua;11:00:00;12:30:00;3;Laboratório de Informática;;
02888TP02;MGRHCO;Investigação em Gestão de Recursos Humanos: Análise de Dados Quantitativos;MGRHCOA2;18;;;Seg;13:00:00;14:30:00;3;Sala Aulas Mestrado Plus;;
02888TP02;MGRHCO;Investigação em Gestão de Recursos Humanos: Análise de Dados Quantitativos;MGRHCOA2;18;;;Qua;13:00:00;14:30:00;3;Laboratório de Informática;;
02892TP01;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA2;18;;;Seg;16:00:00;17:30:00;3;Sala Aulas Mestrado Plus;;
02892TP01;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA2;18;;;Seg;14:30:00;16:00:00;3;Sala Aulas Mestrado Plus;;
02892TP01;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA2;18;;;Qua;16:00:00;17:30:00;3;Sala Aulas Mestrado Plus;;
02892TP01;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA2;18;;;Qua;14:30:00;16:00:00;3;Sala Aulas Mestrado Plus;;
02892TP02;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA1;28;;;Ter;11:00:00;12:30:00;3;Sala Aulas Mestrado Plus;;
02892TP02;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA1;28;;;Ter;09:30:00;11:00:00;3;Sala Aulas Mestrado Plus;;
02892TP02;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA1;28;;;Qui;08:00:00;09:30:00;3;Sala Aulas Mestrado Plus;;
02892TP02;MGRHCO;Sistemas de Recursos Humanos e Gestão de Recompensas;MGRHCOA1;28;;;Qui;09:30:00;11:00:00;3;Sala Aulas Mestrado Plus;;
02916TP02;DSS;Métodos Avançados de Análise de Dados (Dss);DSSA1;9;;;Ter;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
02963TP01;MESS;História das Teorias Económicas;MESSA1;13;;;Qua;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
02963TP01;MESS;História das Teorias Económicas;MESSA1;13;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02965TP01;DCP;Sistemas Políticos de América Latina;;0;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
02993TP01;226;Programação Linear para A Tomada de Decisão;D;22;;;Ter;14:00:00;16:00:00;4;Sala de Aulas normal;;
02993TP01;226;Programação Linear para A Tomada de Decisão;D;22;;;Sex;14:00:00;16:00:00;4;Sala de Aulas normal;;
02993TP02;226;Programação Linear para A Tomada de Decisão;B;25;;;Ter;09:00:00;11:00:00;4;Sala de Aulas normal;;
02993TP02;226;Programação Linear para A Tomada de Decisão;B;25;;;Sex;09:00:00;11:00:00;4;Sala de Aulas normal;;
02993TP03;226;Programação Linear para A Tomada de Decisão;A;24;;;Ter;11:00:00;13:00:00;4;Sala de Aulas normal;;
02993TP03;226;Programação Linear para A Tomada de Decisão;A;24;;;Sex;11:00:00;13:00:00;4;Sala de Aulas normal;;
02993TP04;226;Programação Linear para A Tomada de Decisão;C;21;;;Ter;16:00:00;18:00:00;4;Sala de Aulas normal;;
02993TP04;226;Programação Linear para A Tomada de Decisão;C;21;;;Sex;16:00:00;18:00:00;4;Sala de Aulas normal;;
02996TP01;226;Introdução à Programação (Iefp);D;22;;;Seg;14:00:00;16:00:00;4;Sala de Aulas normal;;
02996TP01;226;Introdução à Programação (Iefp);D;22;;;Qui;14:30:00;16:00:00;3;Sala de Aulas normal;;
02996TP02;226;Introdução à Programação (Iefp);B;25;;;Seg;09:00:00;11:00:00;4;Sala de Aulas normal;;
02996TP02;226;Introdução à Programação (Iefp);B;25;;;Qui;09:00:00;11:00:00;4;Sala de Aulas normal;;
